Sex,Marital status,Age,Education,Income,Occupation,Settlement size
0.0,0.0,0.9245283018867925,1.0,0.45288539967373576,0.5,1.0
1.0,1.0,0.07547169811320753,0.5,0.5859553425774878,0.5,1.0
0.0,0.0,0.5849056603773586,0.5,0.2721146003262642,0.0,0.0
0.0,0.0,0.5094339622641508,0.5,0.6919504486133768,0.5,0.5
0.0,0.0,0.6603773584905661,0.5,0.577074836867863,0.5,0.5
0.0,0.0,0.32075471698113206,0.5,0.5557504078303426,0.0,0.0
0.0,0.0,0.6603773584905661,0.5,0.6151254078303426,0.5,0.5
0.0,0.0,0.32075471698113206,0.5,0.8043892740619902,1.0,0.5
0.0,1.0,0.8113207547169812,1.0,0.5901254078303426,0.0,0.0
0.0,1.0,0.18867924528301888,0.5,0.7076570146818923,1.0,0.0
1.0,1.0,0.13207547169811323,0.5,0.3702946574225122,0.5,0.0
1.0,1.0,0.11320754716981135,0.5,0.46780179445350734,0.5,0.0
1.0,1.0,0.07547169811320753,0.5,0.3714059951060359,0.5,1.0
0.0,0.0,0.7924528301886793,1.0,0.2729506525285481,0.0,0.0
1.0,1.0,0.18867924528301888,0.5,0.34189946982055464,0.5,0.5
1.0,1.0,0.2641509433962264,0.5,0.2681280587275693,0.0,0.0
0.0,0.0,0.6603773584905661,0.5,0.45737153344208814,0.5,0.0
0.0,0.0,0.13207547169811323,0.0,0.6199123164763458,0.5,1.0
0.0,0.0,0.24528301886792453,0.0,0.5547767128874389,0.5,0.5
0.0,0.0,0.5660377358490567,0.5,0.4228435970636215,0.5,0.5
0.0,0.0,0.490566037735849,0.5,0.5693260603588908,0.5,0.5
0.0,0.0,0.5660377358490567,0.5,0.27514274061990207,0.0,0.0
0.0,0.0,0.490566037735849,0.5,0.5051284665579119,0.5,1.0
0.0,1.0,0.15094339622641512,0.5,0.3458146411092986,0.5,1.0
0.0,0.0,0.33962264150943394,0.5,0.18391619086460034,0.0,0.0
0.0,1.0,0.3962264150943396,0.5,0.16533442088091352,0.0,0.0
1.0,1.0,0.45283018867924524,1.0,0.64841455954323,0.5,0.5
0.0,0.0,0.3018867924528302,0.5,0.42554547308319746,0.5,0.5
0.0,0.0,0.8490566037735849,1.0,0.7139579934747146,0.5,0.0
0.0,1.0,0.33962264150943394,0.5,0.6311888254486134,0.5,0.5
0.0,0.0,0.169811320754717,0.0,0.4297461256117455,0.5,0.5
0.0,0.0,0.22641509433962265,0.0,0.6469871533442089,0.5,1.0
0.0,0.0,0.7358490566037736,1.0,0.2639325040783034,0.0,0.0
1.0,1.0,0.2830188679245283,0.5,0.6104047716150082,1.0,0.5
0.0,0.0,0.13207547169811323,0.0,0.35008666394779775,0.0,0.0
0.0,0.0,0.24528301886792453,0.0,0.5482922104404568,0.5,1.0
0.0,0.0,0.3584905660377358,0.5,0.46820962479608486,0.5,0.5
0.0,0.0,0.3584905660377358,0.5,0.4253874388254486,0.5,0.5
0.0,0.0,0.11320754716981135,0.0,0.2891007340946167,0.5,0.5
0.0,0.0,0.22641509433962265,0.0,0.6499643148450245,1.0,0.5
0.0,1.0,0.15094339622641512,0.5,0.48475224306688425,0.5,0.0
0.0,0.0,0.490566037735849,0.5,0.49870513866231647,0.0,0.0
0.0,1.0,0.11320754716981135,0.5,0.6080342577487765,0.5,0.5
1.0,1.0,0.7547169811320755,1.0,0.5429394371941273,0.0,0.5
1.0,1.0,0.32075471698113206,0.5,0.5228130097879282,1.0,0.5
0.0,0.0,0.3962264150943396,0.5,0.5319637030995106,0.5,0.0
1.0,1.0,0.09433962264150941,0.5,0.15084115008156604,0.0,0.0
0.0,0.0,0.3962264150943396,0.5,0.48260603588907014,0.0,0.0
1.0,1.0,0.18867924528301888,0.5,0.44351039967373573,0.5,0.0
0.0,0.0,0.20754716981132076,0.0,0.24826162316476344,0.0,0.0
0.0,0.0,0.22641509433962265,0.0,0.7359502446982056,1.0,1.0
0.0,0.0,0.13207547169811323,0.0,0.2866333605220228,0.5,1.0
0.0,0.0,0.24528301886792453,0.0,0.4145901305057097,0.5,0.0
0.0,0.0,0.7358490566037736,1.0,0.5097777324632953,0.5,0.5
0.0,0.0,0.15094339622641512,0.0,0.11432504078303427,0.0,0.0
0.0,0.0,0.6415094339622642,0.5,0.8500356851549755,1.0,1.0
1.0,1.0,0.24528301886792453,0.5,0.7535940048939641,0.5,0.5
1.0,1.0,0.09433962264150941,0.5,0.5935715742251224,1.0,0.5
1.0,1.0,0.09433962264150941,0.5,0.4048123980424144,0.0,0.0
0.0,1.0,0.169811320754717,0.5,0.3625764681892333,0.5,1.0
0.0,0.0,0.6037735849056605,0.5,0.44763968189233283,0.5,0.5
0.0,0.0,0.8113207547169812,1.0,0.66567088091354,1.0,0.5
0.0,0.0,0.13207547169811323,0.0,0.9765140701468189,0.5,1.0
1.0,1.0,0.15094339622641512,0.5,0.420778955954323,0.5,0.5
0.0,0.0,0.5660377358490567,0.5,0.5724051794453507,0.5,0.5
1.0,1.0,0.20754716981132076,0.5,0.38354914355628056,0.5,0.0
0.0,1.0,0.07547169811320753,0.5,0.5299143556280588,0.5,0.0
0.0,0.0,0.3584905660377358,0.5,0.3626937194127243,0.5,1.0
1.0,1.0,0.13207547169811323,0.5,0.3781963703099511,0.5,1.0
1.0,1.0,0.22641509433962265,0.5,0.6793943719412725,0.5,0.5
0.0,0.0,0.5283018867924527,0.5,0.1930617862969005,0.0,0.0
0.0,0.0,0.6226415094339623,0.5,0.540507748776509,1.0,1.0
1.0,1.0,0.43396226415094336,1.0,0.5104353588907015,0.0,0.0
0.0,0.0,0.4150943396226415,0.5,0.535562805872757,1.0,1.0
0.0,0.0,0.9056603773584906,1.0,0.6192241027732464,1.0,1.0
0.0,0.0,0.3018867924528302,0.5,0.4555210032626428,0.5,0.5
0.0,0.0,0.6226415094339623,0.5,0.6099816476345841,0.5,1.0
0.0,0.0,0.3962264150943396,0.5,0.5906657830342578,0.0,0.0
0.0,1.0,0.07547169811320753,0.5,0.46170473083197394,0.5,0.5
1.0,1.0,0.490566037735849,1.0,0.629149673735726,0.5,1.0
0.0,0.0,0.5471698113207546,0.5,0.5113478792822186,0.5,0.5
1.0,1.0,0.11320754716981135,0.5,0.2495921696574225,0.0,0.0
1.0,1.0,0.7547169811320755,1.0,0.3281912724306688,0.0,0.0
0.0,0.0,0.6415094339622642,0.5,0.29503466557911906,0.0,0.0
